city,1995,1996,1997,1998,1999,2000,spi,spi_p
Guarani d'Oeste,79396,80000,70000,80000,80000,75000,-1.11582784045047,-1.06717593712505
Guarantã,78000,78000,0,70000,0,0,-1.37941626364175,-0.542192854146773
Guararapes,85000,67189,85000,85000,85000,90000,-1.43511788260174,0.205501147197769
Guararema,40000,0,0,0,0,0,-1.49371148955648,-0.532183482430295
Guaratinguetá,60000,0,30000,60000,60000,0,-1.21825905902888,-1.29075758335282
Guareí,0,0,0,0,0,0,-2.28953992392433,0.078360799318365
Guariba,82000,82000,82000,82000,82000,75000,-1.16982430786275,-0.075192575377977
Guarujá,0,0,0,0,0,0,-1.11617311346972,-0.121325171342916
Guarulhos,0,0,0,0,0,0,-1.45664697681734,-0.468871333089949
Guatapará,70833,70000,80000,70000,70000,80001,-1.34682059091984,-1.35019735908501
Guzolândia,72498,92000,109528,101946,101944,64006,-1.97700312825884,-0.527334727022129
Herculândia,0,0,0,0,0,0,-2.07914073664727,-0.583930022597444
Holambra,73000,0,0,0,0,0,-1.38879916689588,-0.090152974814532
Hortolândia,60000,60000,60000,60000,60000,0,-1.63245426270636,-0.625413729085692
Iacanga,70000,70000,70000,70000,70000,70000,-1.28980652069154,-0.157295728508012
Iacri,55000,40000,55000,80000,55000,55343,-2.38597002026911,-1.45137961170925
Iaras,75000,75000,75000,0,0,0,-2.00467419345186,-0.904688903437829
Ibaté,80000,80000,80000,80000,80000,80000,-1.13717459335784,-0.355087855556014
Ibirá,75000,75000,75000,75000,75000,60714,-1.13934587802723,-0.975977502443483
Ibirarema,80000,80000,80000,70000,80000,70000,-2.09546137006066,-0.912148454073151
Ibitinga,80000,80000,80000,80000,80000,60000,-0.656173087667086,0.074464687090314
Ibiúna,0,0,0,0,0,60000,-2.4025776822609,-1.02031756620274
Icém,70000,89583,90000,90000,90000,90016,-2.08902257039101,-2.6355838137457
Iepê,65000,65625,65000,65000,65000,65000,-1.72980908712839,-0.198421276832737
Igaraçu do Tietê,73333,85000,100000,100000,100000,90000,-2.55450468474729,-1.07968826033178
Igarapava,75000,75000,80000,80000,78000,73000,-0.277962337034479,-1.41299278537295
Igaratá,40000,40000,40000,0,0,0,-1.79477993110227,-0.753072282347155
Iguape,0,0,0,0,0,0,-2.1010219972263,-0.114274620573375
Ilha Solteira,0,0,0,0,0,0,-1.91772199343381,-1.36468962858288
Ilhabela,0,0,0,0,0,10000,-1.19633189135029,-0.872256595133469
Indaiatuba,73333,90000,80000,80000,80000,0,-2.22104471239188,-1.05049497732898
Indiana,0,0,0,0,0,0,-1.1982108262132,-0.651258694884491
Indiaporã,80000,0,0,0,0,0,-1.10876797899002,-1.62654266288882
Inúbia paulista,85000,80000,75000,67509,105000,90000,-2.31733745136614,-1.65260569576073
Ipaussu,70000,65000,69148,58164,39419,75000,-2.17738071615979,-1.0409633057291
Iperó,90000,90000,80000,90000,90000,60000,-2.44860589921579,-0.937071411855206
Ipeúna,70100,90000,65300,72499,58311,90000,-1.45399504172642,-0.042917892170583
Ipiguá,0,0,120000,120000,120000,100000,-1.18873894559319,-1.80459123541663
Iporanga,40000,40000,0,0,0,0,-1.91562051913359,0.038634145898519
Ipuã,83950,80000,80000,80000,80000,102068,-1.42823984809086,-1.41479510465887
Iracemápolis,90000,90000,90000,90000,90000,90000,-1.43247229548944,0.034686639103997
Irapuã,80000,43333,80000,80000,80000,120000,-0.885359183528722,-0.131599113608527
Irapuru,0,0,0,0,0,0,-1.88547047666239,-1.09860679965619
Itaberá,0,0,0,0,0,0,-2.22923150427778,-0.964274118419376
Itaí,75000,80000,80000,80000,60000,50000,-2.82584267308908,-1.81381428095165
Itajobi,80000,80000,80000,80000,78571,80000,-0.815656940208983,-0.45014324413571
Itaju,90000,90000,100000,100000,100000,0,-0.656173087667086,0.074464687090314
Itanhaém,0,0,0,0,0,0,-1.4378486273021,0.123616498197751
Itaoca,0,0,0,0,0,0,-2.06494612989364,-0.414746873844362
Itapecerica da Serra,0,0,0,0,0,0,-2.59877696669957,-1.01354695689744
Itapetininga,65000,65000,65000,80000,80000,80000,-2.84621609022493,-1.12382001107642
Itapeva,70000,60000,60000,60000,60000,70000,-2.06998598658486,-0.905666904260208
Itapevi,0,0,0,0,0,0,-2.59877696669957,-1.01354695689744
Itapira,90000,75037,75000,75000,75000,75000,-1.50406364939646,0.440103511796986
Itapirapuã Paulista,50000,50000,0,0,0,0,-2.22302831853476,-1.38946713848032
Itápolis,84459,72222,80000,80000,80000,80000,-1.06450430264649,-0.352324152681139
Itaporanga,0,0,0,0,0,0,-2.3496893199493,-1.63005018391326
Itapuí,90000,90000,90000,90000,90000,90000,-1.25538714058201,-0.049470611249157
Itapura,0,0,0,0,0,100000,-1.75027010829578,-1.17598617728926
Itaquaquecetuba,0,0,0,0,0,60000,-1.45664697681734,-0.468871333089949
